source_account_id,target_account_id,slope,corr
0961P,2010D,106973.47058823524,0.8761118258318273
0961P,3506S,187221.38235294115,0.8068891602351282
0961P,3506U,8.911764705882355,0.7499195980205021
0961P,3022G,11864.323529411766,0.6180643701200061
0961P,8173D,7690.617647058823,0.5967355337325317
0961P,8170D,7626.323529411765,0.5801793423507198
0961P,3028G,10715.676470588232,0.5466417287736307
0961P,8063D,2126.323529411764,0.5129116641155729
0961P,520P,-2.4999999999999996,-0.504924756966779
0961P,0969P,-1.029411764705882,-0.5358049517616629
0962P,5000AP,1.7260869565217392,0.9508061582569434
0962P,520P,1.2695652173913041,0.9431507820429842
0962P,570P,1.8304347826086957,0.8918921060037214
0962P,0968P,0.48695652173913057,0.8416058431694241
0962P,5000XP,3.8478260869565224,0.8364882288689557
0962P,1810D,545.695652173913,0.8109307588519344
0962P,5000D,10.239130434782611,0.7914961500074749
0962P,50042ST,-672.0782608695653,-0.7852898885536606
0962P,2230D,-19852.008695652177,-0.8054913946039074
0962P,50007SD,-323.38260869565215,-0.8402257712169955
0963P,530P,1.0,1.0
0963P,50038ST,565962.7003703704,0.9321192127734017
0963P,26000D,258522.96296296292,0.9250529689215945
0963P,1610D,258522.96296296292,0.9250529689215945
0963P,50028ST,883397.4062962963,0.8903495761720551
0963P,395DU,23.333333333333332,0.8852961087997157
0963P,50023ST,16.444444444444443,0.8694057651446385
0963P,24000D,792821.8888888889,0.8672815713279279
0963P,50039ST,792821.8333333334,0.8672814166630765
0963P,1010D,-435712.3703703703,-0.8847760741726783
0964P,5000AP,1.5202492211838008,0.8567681919672606
0964P,3310U,2.962616822429906,0.8555670395966514
0964P,396CD,10853.54205607477,0.7870223200162585
0964P,0962P,0.7601246105919004,0.777685539831011
0964P,8634D,2146.392523364486,0.7511626944315141
0964P,570P,1.4548286604361371,0.7252523393156656
0964P,25700D,100480.00311526477,0.719904477941928
0964P,3310S,1764.3769470404986,0.7146828043476935
0964P,520P,0.9314641744548284,0.7079645301400358
0964P,2300D,-50970.41433021805,-0.7965163706591833
0968P,0979P,1.8571428571428577,0.9721594786122376
0968P,5000D,21.487012987012985,0.9610438904607216
0968P,5000XP,7.616883116883119,0.9580830019308245
0968P,570P,3.3571428571428577,0.9464753922859089
0968P,1510D,10945.915584415583,0.9264284773496642
0968P,1830D,6773.129870129873,0.9171748847287551
0968P,3001ST,28.409090909090917,0.9015013533685174
0968P,1140ED,43909.37012987014,0.8938069071893249
0968P,50042ST,-1353.467532467533,-0.9150386624478701
0968P,50007SD,-619.5129870129872,-0.9313463083905701
0969P,520P,1.9880478087649405,0.7714288647992984
0969P,5000BP,1.9960159362549803,0.7708303522855092
0969P,3010ST,18.199203187251,0.7490723211601875
0969P,5040D,5.876494023904383,0.7002860068476635
0969P,50035ST,185815.52402390444,0.6335402266769853
0969P,5080G,12497.127490039842,0.6249931294850483
0969P,5080S,15328.250996015939,0.6188307300525743
0969P,3500S,217072.1952191235,0.6177904819105696
0969P,50047ST,-46488.302788844645,-0.6249144607763518
0969P,2420D,-452637.35059760965,-0.6271803673842908
0971P,540P,1.0,1.0
0971P,0976P,1.0,1.0
0971P,395AU,11.500000000000002,0.9754172691319666
0971P,31000D,3570572.25,0.9630906075076799
0971P,1495D,592439.5833333334,0.9618902896206097
0971P,2520D,483100.9583333332,0.9607637185394967
0971P,33000D,2836155.75,0.9587635145983079
0971P,30000D,3596334.208333333,0.9577592744464338
0971P,2111D,784124.125,0.9558872992413545
0971P,25000D,2900267.041666667,0.9540775733203903
0976P,540P,1.0,1.0
0976P,0971P,1.0,1.0
0976P,395AU,11.500000000000002,0.9754172691319666
0976P,31000D,3570572.25,0.9630906075076799
0976P,1495D,592439.5833333334,0.9618902896206097
0976P,2520D,483100.9583333332,0.9607637185394967
0976P,33000D,2836155.75,0.9587635145983079
0976P,30000D,3596334.208333333,0.9577592744464338
0976P,2111D,784124.125,0.9558872992413545
